"","scenario","KG_GridCode","surface_area_climatezone","total_surface_area","Classification","Description","Group","Precipitation Type","Level of Heat"
"1","2001-2025-A1FI",42,474450.801514877,4022402.98453141,"Dfb","Warm-summer humid continental climate","Cold (continental)","Without dry season","Warm summer"
"2","2001-2025-A1FI",43,498164.709115238,4022402.98453141,"Dfc","Subarctic climate","Cold (continental)","Without dry season","Cold summer"
"3","2001-2025-A1FI",62,25211.8057238446,4022402.98453141,"ET","Tundra","Polar","Tundra",NA
"4","2001-2025-A1FI",32,1875309.92228505,4022402.98453141,"Cfb","Temperate oceanic climate","Temperate","Without dry season","Warm summer"
"5","2001-2025-A1FI",31,386929.00569473,4022402.98453141,"Cfa","Humid subtropical climate","Temperate","Without dry season","Hot summer"
"6","2001-2025-A1FI",34,576764.755376331,4022402.98453141,"Csa","Hot-summer Mediterranean climate","Temperate","Dry summer","Hot summer"
"7","2001-2025-A1FI",27,2870.00297034825,4022402.98453141,"BSh","Hot semi-arid (steppe) climate","Arid","Steppe","Hot"
"8","2001-2025-A1FI",35,128322.157870908,4022402.98453141,"Csb","Warm-summer Mediterranean climate","Temperate","Dry summer","Warm summer"
"9","2001-2025-A1FI",26,52179.8998520594,4022402.98453141,"BSk","Cold semi-arid (steppe) climate","Arid","Steppe","Cold"
"10","2001-2025-A1FI",33,2199.9241280295,4022402.98453141,"Cfc","Subpolar oceanic climate","Temperate","Without dry season","Cold summer"
"11","2026-2050-A1FI",43,382213.596637834,4022401.18985817,"Dfc","Subarctic climate","Cold (continental)","Without dry season","Cold summer"
"12","2026-2050-A1FI",42,461660.893219285,4022401.18985817,"Dfb","Warm-summer humid continental climate","Cold (continental)","Without dry season","Warm summer"
"13","2026-2050-A1FI",62,13388.0429621969,4022401.18985817,"ET","Tundra","Polar","Tundra",NA
"14","2026-2050-A1FI",32,1764349.0774205,4022401.18985817,"Cfb","Temperate oceanic climate","Temperate","Without dry season","Warm summer"
"15","2026-2050-A1FI",31,626732.8016047,4022401.18985817,"Cfa","Humid subtropical climate","Temperate","Without dry season","Hot summer"
"16","2026-2050-A1FI",34,602274.18523433,4022401.18985817,"Csa","Hot-summer Mediterranean climate","Temperate","Dry summer","Hot summer"
"17","2026-2050-A1FI",27,13788.7173011061,4022401.18985817,"BSh","Hot semi-arid (steppe) climate","Arid","Steppe","Hot"
"18","2026-2050-A1FI",35,66649.5494199832,4022401.18985817,"Csb","Warm-summer Mediterranean climate","Temperate","Dry summer","Warm summer"
"19","2026-2050-A1FI",26,91344.3260582416,4022401.18985817,"BSk","Cold semi-arid (steppe) climate","Arid","Steppe","Cold"
